name,space,r,g,b,hex
Chromatic-Dorval-CH2-1119-BLEU-DAVIS,RGB,70,72,83,#464853
Chromatic-Dorval-CH2-1120-NOIR-DORVAL,RGB,63,68,73,#3F4449
Chromatic-Dorval-CH2-1121-GRIS-BERLIN,RGB,169,179,189,#A9B3BD
Chromatic-Dorval-CH2-1122-GRIS-GIRAPHE,RGB,161,163,171,#A1A3AB
Chromatic-Dorval-CH2-1123-GRIS-VARSOVIE,RGB,143,153,163,#8F99A3
Chromatic-Dorval-CH2-1124-GRIS-BUDAPEST,RGB,123,131,143,#7B838F
Chromatic-Dorval-CH2-1125-GRIS-CEMENTITE,RGB,94,100,111,#5E646F
Chromatic-Dorval-CH2-1126-GRIS-BOUSSOLE,RGB,189,191,195,#BDBFC3
Chromatic-Dorval-CH2-1127-GRIS-FOURNEAU,RGB,165,171,175,#A5ABAF
Chromatic-Dorval-CH2-1128-GRIS-TAUREAU,RGB,139,147,153,#8B9399
Chromatic-Dorval-CH2-1129-GRIS-LEMAN.psd,RGB,131,141,145,#838D91
Chromatic-Dorval-CH2-1130-GRIS-PAON,RGB,121,127,135,#797F87
Chromatic-Dorval-CH2-1131-GRIS-TELESCOPE,RGB,203,205,209,#CBCDD1
Chromatic-Dorval-CH2-1132-GRIS-LEZARD,RGB,203,207,209,#CBCFD1
Chromatic-Dorval-CH2-1133-GRIS-GRAPHITE,RGB,197,203,201,#C5CBC9
Chromatic-Dorval-CH2-1134-GRIS-LUNE,RGB,189,195,197,#BDC3C5
Chromatic-Dorval-CH2-1135-GRIS-WINDSOR,RGB,175,183,187,#AFB7BB
Chromatic-Dorval-CH2-1136-GRIS-SIRIUS,RGB,175,181,181,#AFB5B5
Chromatic-Dorval-CH2-1137-GRIS-PLATINE,RGB,153,159,161,#999FA1
Chromatic-Dorval-CH2-1138-GRIS-Luxembourg,RGB,129,141,145,#818D91
Chromatic-Dorval-CH2-1139-GRIS-ZINC,RGB,127,137,139,#7F898B
Chromatic-Dorval-CH2-1140-GRIS-LOFT,RGB,129,137,141,#81898D
Chromatic-Dorval-CH2-1141-VERT-TELEMARK,RGB,181,189,175,#B5BDAF
Chromatic-Dorval-CH2-1142-VERT-FICUS,RGB,163,173,161,#A3ADA1
Chromatic-Dorval-CH2-1143-VERT-NOBILE,RGB,135,149,137,#879589
Chromatic-Dorval-CH2-1144-VERT-GALANE.psd,RGB,105,112,106,#69706A
Chromatic-Dorval-CH2-1145-GRIS-TAUNUS,RGB,100,111,106,#646F6A
Chromatic-Dorval-CH2-1146-GRIS-GEMINI,RGB,203,203,193,#CBCBC1
Chromatic-Dorval-CH2-1147-VERT-BOURRACHE,RGB,175,173,157,#AFAD9D
Chromatic-Dorval-CH2-1148-GRIS-MISSOURI,RGB,157,153,139,#9D998B
Chromatic-Dorval-CH2-1149-OMBRE-PELVOUX,RGB,118,116,99,#767463
Chromatic-Dorval-CH2-1150-GRIS-BANGUI,RGB,116,113,105,#747169
